Male,200,108,763,77,16136,927,7923,133,433,29971,4453,311,385,2506,925,357,415,387,1268,106,3437,29482,1701,734,157,817,105,86,1142,1051,13116,353,9986,2063,221,1676,206,964,4459,420,1749,25,566,6317,1536,0,1853,1520,124,522,27
Married,237,124,1339,214,20930,1480,10079,136,474,40300,6047,672,249,2985,993,161,541,379,1053,108,4901,34242,2695,1127,184,789,46,184,1285,1249,15787,470,12817,2701,177,1479,272,925,5171,902,1801,87,602,10469,2159,115,3219,2051,107,359,48
Widowed,0,0,64,0,886,27,207,0,0,2763,133,55,0,96,0,42,0,0,32,50,163,879,116,0,0,33,0,0,19,0,1077,0,607,263,0,91,0,72,264,70,47,0,75,225,103,0,197,23,14,9,8
Divorced,57,21,252,23,4886,267,1980,56,50,8930,932,114,10,375,148,70,36,54,98,41,462,6659,310,66,28,247,0,11,565,371,2749,186,2989,652,0,235,46,457,753,66,146,0,51,1198,483,0,398,233,32,70,5
Separated,16,0,0,0,1070,0,706,7,69,1880,63,0,0,66,0,0,0,0,8,0,182,2359,66,0,0,0,0,0,45,14,1000,46,881,74,0,17,0,102,244,0,202,0,25,161,77,0,146,87,0,43,0
Never married or < 15,234,60,737,95,9732,657,3346,233,1017,16614,3089,181,284,1815,668,431,224,322,883,121,2290,17297,1205,812,94,534,74,106,765,497,8194,143,6958,1538,269,1400,243,587,3363,79,916,6,395,3848,866,35,1300,1280,142,605,4
Naturalized Citizen,176,156,1048,72,15760,897,4712,94,592,29601,3332,534,91,1912,619,376,384,150,368,211,2388,18335,1205,630,77,621,3,71,1244,480,10330,509,10367,1569,47,1182,203,962,2410,457,930,13,537,6255,1489,115,2287,1157,151,283,38
Not a Citizen,368,49,1344,260,21744,1534,11606,338,1018,40886,6932,488,452,3425,1190,328,417,605,1706,109,5610,43101,3187,1375,229,982,117,230,1435,1651,18477,336,13885,3659,399,2040,358,1181,7385,660,2182,80,611,9646,2199,35,2973,2517,144,803,27
Entered US before 2000,137,79,871,72,16717,859,7619,160,680,31864,3066,427,94,1678,523,401,162,236,630,264,2746,23074,1229,407,49,627,34,75,1327,687,13570,248,13413,2101,14,1240,183,1022,2402,568,914,38,413,5751,1449,60,2415,1006,139,211,48
Entered US 2000 or later,407,126,1521,260,20787,1572,8699,272,930,38623,7198,595,449,3659,1286,303,639,519,1444,56,5252,38362,3163,1598,257,976,86,226,1352,1444,15237,597,10839,3127,432,1982,378,1121,7393,549,2198,55,735,10150,2239,90,2845,2668,156,875,17
Less than high school,74,151,253,85,3670,197,3506,88,262,10833,1352,128,36,624,253,25,184,102,380,24,1859,12136,681,333,0,250,45,0,425,301,6235,54,3141,631,66,272,22,292,2755,51,587,6,162,1889,412,0,365,353,0,64,4
High School,168,41,1184,197,15480,988,9488,260,428,35486,5261,545,416,2300,692,257,235,297,1037,171,3106,39664,1353,699,92,513,72,123,1472,1200,16860,482,10680,2655,229,1498,413,887,4287,635,1612,0,322,5461,1723,58,2299,1570,138,672,23
Bachelors Degree of Higher,302,13,955,50,18354,1246,3324,84,920,24168,3651,349,91,2413,864,422,382,356,657,125,3033,9636,2358,973,214,840,3,178,782,630,5712,309,10431,1942,151,1452,126,964,2753,431,913,87,664,8551,1553,92,2596,1751,157,350,38
Males In Civilian Labor Force,122,59,554,55,12860,680,7071,102,340,22063,3506,220,102,1526,629,248,224,145,1057,100,2497,26105,1339,513,84,484,31,23,811,908,10695,338,8079,1721,155,1350,152,782,3506,341,1421,19,328,4755,1171,0,1518,1369,77,270,23
Females In Civilian Labor Force,172,35,925,102,12567,796,5424,139,468,23779,3588,492,31,1565,427,189,285,149,497,96,2792,23203,1187,358,116,455,0,157,954,668,9377,337,9051,1643,150,873,306,524,3313,456,829,25,340,4813,1363,71,1962,1001,86,192,22
Unemployed Males,0,0,23,0,505,8,321,0,0,1050,154,0,0,45,32,0,0,0,143,0,93,908,53,0,8,0,0,0,29,64,535,24,327,45,0,65,0,47,181,20,39,0,36,167,80,0,106,109,0,18,0
Unemployed Females,107,0,168,0,898,0,260,0,69,1326,153,25,0,138,0,0,19,0,6,0,254,1715,28,53,0,0,0,0,95,0,866,15,493,89,0,71,9,42,153,42,45,0,27,472,78,0,93,176,0,12,0
Private Wage & Salary Workers,190,72,1029,180,18441,1159,7554,280,359,32387,4702,519,313,2601,976,278,402,289,1022,86,3331,34013,2375,1124,143,608,12,140,1566,1174,14726,302,11719,2185,46,2049,262,1029,4915,424,1407,25,465,7544,1995,22,2822,1813,135,575,24
Government Workers,25,0,357,10,2304,310,608,13,246,2484,388,86,16,322,163,240,57,98,19,6,832,1779,249,35,50,194,39,58,89,177,957,294,1316,463,194,57,75,76,329,64,189,19,107,1280,345,0,475,247,43,82,21
Self employed Not incorporated,0,21,73,0,4852,172,3866,18,120,8449,2072,112,49,291,58,13,92,0,200,75,1015,10968,111,136,23,145,40,0,305,239,3933,0,3342,686,24,164,73,263,1793,237,629,0,92,1513,218,11,387,353,3,34,0
Self employed Incorporated,37,13,97,0,1531,55,911,33,30,6906,579,98,0,183,34,0,0,13,182,0,276,2268,54,38,8,35,0,0,50,41,1335,68,1349,204,0,28,0,0,201,50,207,0,24,398,81,0,226,19,8,12,16
"Professional, Scientific, & Technical Services Administration and Support Waste Management Services ",100,0,254,0,4771,253,2708,23,327,9022,1894,45,177,592,108,39,48,61,165,0,1168,10201,325,127,23,178,0,0,195,525,2983,48,2608,582,0,204,0,230,1949,111,323,0,103,2100,511,0,861,788,62,42,0
Construction,0,59,0,0,899,132,3004,94,10,5559,646,6,0,41,34,0,3,0,610,0,745,9648,0,28,0,25,31,0,161,104,4926,46,2181,323,0,157,0,54,1608,119,777,0,45,365,32,0,118,91,0,10,5
Other Services,0,9,64,0,2959,92,2700,63,188,5999,1261,18,0,238,18,0,36,0,0,41,843,8189,70,28,0,27,9,18,246,57,3440,46,2299,419,0,267,27,28,1229,134,228,0,0,1101,234,0,432,194,12,0,0
Arts Entertainment and Recreation & Accomodation and Food,66,0,218,0,3711,167,1043,102,179,5349,637,214,14,219,221,70,162,40,216,41,220,6939,143,91,39,181,12,35,775,390,1971,70,2035,392,105,192,126,150,423,30,233,25,55,1097,214,0,374,152,48,93,0
"Educational services, and health care and social assistance",63,26,551,67,5699,473,1441,28,171,6632,1047,157,70,1188,527,293,262,163,195,125,1304,6959,567,426,116,408,39,102,197,142,2550,259,3688,818,136,385,146,364,571,372,291,19,242,2185,637,70,837,361,25,151,43
Manufacturing,0,0,151,16,2037,178,601,28,0,2303,651,80,71,570,329,21,99,40,60,0,137,2453,1075,299,0,59,0,0,33,222,1314,67,801,413,0,617,41,251,709,52,280,0,124,1295,593,10,104,161,0,246,0
Retail Trade,23,0,36,23,2034,64,652,0,8,5812,535,121,36,374,69,0,33,37,85,0,276,3096,360,284,38,18,0,48,226,97,1524,75,1539,267,19,170,81,130,612,118,154,0,109,851,189,11,380,293,0,98,0
Other Industries,88,32,385,84,7170,407,1443,30,201,12122,1478,212,10,758,104,143,22,59,315,30,1424,5272,460,177,8,201,0,34,252,169,3361,123,4107,437,64,626,81,314,727,57,248,0,92,2702,446,0,1184,604,51,111,13
"Management, Professional and Related",213,13,840,50,13922,978,2646,100,715,17462,2697,390,189,2066,755,318,294,320,445,55,2279,8696,1895,796,114,720,39,113,586,391,4632,451,8105,1456,132,1001,160,742,2175,429,757,44,389,6204,928,45,2285,1204,121,309,29
Services Occupations,47,13,274,33,6233,346,5302,177,236,12336,2936,208,44,670,312,79,297,0,395,152,1860,21968,276,157,38,210,12,57,720,616,7059,84,4708,848,116,672,178,320,2461,256,651,0,107,1980,699,0,971,450,61,158,8
Sales & Office,23,41,451,107,5526,213,1537,12,112,13923,1404,185,36,774,198,26,51,80,234,0,1019,6353,516,407,64,85,0,49,480,120,3127,171,3402,807,66,398,127,339,814,125,206,0,113,2361,700,36,671,494,0,165,9
Construction & Extraction Occupations,0,59,0,0,481,86,2893,79,10,4080,544,6,0,41,0,30,0,0,442,0,624,8603,20,37,8,25,31,0,48,91,4290,0,1731,328,0,213,0,12,1670,119,658,0,45,306,32,0,128,87,0,34,0
Maintenance & Repair Occupations,0,0,10,0,259,10,296,0,0,1534,59,24,0,118,14,113,0,0,19,0,86,1226,9,36,0,0,9,0,140,76,644,0,365,35,10,52,0,26,214,0,12,0,25,196,0,0,23,12,0,0,0
"Production, Transportation, and Material Moving Occupation",57,0,84,0,2859,133,916,0,11,3463,509,40,109,311,131,0,23,0,111,30,249,5911,284,27,0,57,0,18,111,412,2317,28,947,177,0,282,37,82,494,64,250,0,91,649,497,10,212,397,16,85,15
Population for whom poverty status is determined,536,205,2267,322,36846,2270,16259,334,1439,70009,10092,1022,288,5041,1544,626,739,644,2063,305,7996,61052,4121,1911,282,1400,60,238,2552,2074,28651,830,23667,5139,376,3079,481,2038,9575,1080,3061,93,1054,15495,3637,115,5206,3569,259,860,65
Population for whom poverty status is not determined,8,0,125,10,658,161,59,98,171,478,172,0,255,296,265,78,62,111,11,15,2,384,271,94,24,203,60,63,127,57,156,15,585,89,70,143,80,105,220,37,51,0,94,406,51,35,54,105,36,226,0
Individuals Below Poverty,112,26,243,90,4936,176,1470,62,377,10240,995,48,70,1125,96,233,50,223,385,41,747,7302,708,432,91,277,57,43,354,205,4157,200,2700,778,316,572,136,387,1273,88,258,6,131,1649,620,0,673,420,67,146,9
Individuals Above Poverty,424,179,2024,232,31910,2094,14789,272,1062,59769,9097,974,218,3916,1448,393,689,421,1678,264,7249,53750,3413,1479,191,1123,3,195,2198,1869,24494,630,20967,4361,60,2507,345,1651,8302,992,2803,87,923,13846,3017,115,4533,3149,192,714,56
Median Personal Earnings,"13,801","124,580","30,624","9,814","25,559","19,008","24,334","23,320","40,341","24,182","22,306","30,228",806,"20,279","17,649","15,840","30,228","5,606","20,279","10,223","30,647","25,348","21,194","12,672","7,393","29,069","3,114","21,120","24,916","24,182","20,756","12,268","25,559","17,753","9,712","26,362","12,166","20,279","23,233","24,182","21,120",0,"24,536","22,492","16,610","1,056","29,069","14,509","12,039","3,737","52,801"
Median Personal Earnings (excl 0 and neg),"25,348","124,580","39,585","22,492","36,501","30,670","28,212","29,569","47,521","30,670","30,670","41,064","26,401","31,145","40,556","15,840","46,718","46,640","31,145","14,610","36,336","29,069","51,117","51,909","10,223","51,185","3,114","28,918","30,670","24,916","26,401","25,559","36,336","29,403","10,382","31,145","18,338","25,348","30,228","31,681","30,228","36,961","33,250","42,585","25,559","70,754","40,304","43,598","28,031","30,417","52,801"
Immigrant Business Owners,12345,4001,73843,9957,928801,37743,45439,4872,6847,388086,88950,19006,4903,128770,19676,7353,10480,8449,19177,3127,69882,73304,43008,22639,5586,16093,2259,5456,34766,5858,139640,15488,355575,53518,965,31025,14847,31707,56370,8131,18407,1199,24281,382460,14912,2673,77043,66901,1699,15082,841
Brazilian Immigrant Business Owners,107,33,158,0,5789,156,4523,53,162,14103,2641,191,66,348,57,13,57,14,387,71,1624,12284,240,227,37,59,39,0,372,267,5231,0,5002,609,22,173,25,206,1657,304,726,0,63,1901,285,12,637,446,2,46,15
Non-Brazilian Immigrant Business Owners,12238,3968,73685,9957,923012,37587,40916,4819,6685,373983,86309,18815,4837,128422,19619,7340,10423,8435,18790,3056,68258,61020,42768,22412,5549,16034,2220,5456,34394,5591,134409,15488,350573,52909,943,30852,14822,31501,54713,7827,17681,1199,24218,380559,14627,2661,76406,66455,1697,15036,826
Occupied Housing Units,197,52,851,71,15523,955,6632,107,826,29528,3899,360,105,1892,537,406,287,216,682,97,2886,26045,1673,816,113,530,31,97,1124,792,11937,296,10816,1946,223,1002,117,784,3691,474,1132,29,421,6118,1099,81,1793,1312,205,390,47
Total number of families,213,52,898,71,17975,1026,7819,131,1010,31492,4299,394,121,2073,537,406,287,216,984,97,3234,29783,1673,1351,125,530,31,140,1138,884,13961,383,11987,2351,253,1025,117,1003,4559,542,1305,29,429,6584,1190,81,1944,1498,205,418,47
Rest of Country,158688,158849,158003,158830,140926,157875,151082,158770,157891,127409,154602,158507,158780,156828,158364,158495,158614,158685,157917,158804,155667,129118,157228,157550,158776,158371,158870,158761,157763,158017,144940,158518,146914,156550,158648,157876,158784,157898,154342,158359,157596,158872,158472,152317,157711,158820,156957,157403,158696,158483,158854
Families in Poverty,103,17,54,0,2960,185,891,15,225,4589,384,8,19,475,10,126,0,0,222,41,297,3834,293,669,24,119,31,48,153,129,2822,188,1636,471,213,205,0,344,763,46,72,0,28,923,229,0,259,296,46,117,0
Families not in Poverty,110,35,844,71,15015,841,6928,116,785,26903,3915,386,102,1598,527,280,287,216,762,56,2937,25949,1380,682,101,411,0,92,985,755,11139,195,10351,1880,40,820,117,659,3796,496,1233,29,401,5661,961,81,1685,1202,159,301,47
Owner Occupied Units,71,44,585,0,5243,496,2597,77,246,15248,1696,163,26,860,370,115,216,117,148,21,1234,6180,889,313,65,343,0,20,499,241,3704,143,3223,958,0,372,59,427,1333,173,361,29,169,3127,574,81,1005,389,62,121,23
Renter Occupied Units,126,8,266,71,10280,459,4035,30,580,14280,2203,197,79,1032,167,291,71,99,534,76,1652,19865,784,503,48,187,31,77,625,551,8233,153,7593,988,223,630,58,357,2358,301,771,0,252,2991,525,0,788,923,143,269,24
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 20% of HH Income,53,23,338,0,1696,302,676,42,119,5852,741,34,0,426,227,39,216,110,29,0,526,1680,465,133,42,242,0,20,235,99,903,24,1166,667,0,129,59,128,576,30,221,0,119,1875,308,81,489,193,10,13,23
20 to 25% of HH Income,18,0,107,0,887,109,223,12,59,1752,188,15,16,85,50,0,0,0,30,0,64,692,174,151,0,30,0,0,42,103,344,20,439,127,0,135,0,85,143,23,0,0,27,349,53,0,67,73,0,86,0
25 to 30% of HH Income,0,0,112,0,516,0,214,0,35,1191,222,0,10,100,10,55,0,0,44,0,170,631,58,19,0,22,0,0,89,0,488,0,240,0,0,74,0,31,0,29,28,29,0,102,102,0,100,80,35,5,0
30 to 35% of HH Income,0,0,0,0,361,27,236,23,0,1140,146,70,0,30,67,0,0,7,14,21,124,592,6,0,23,0,0,0,26,0,442,0,275,0,0,0,0,142,221,44,27,0,12,173,47,0,20,0,17,0,0
35%+ of HH Income,0,21,28,0,1696,58,1248,0,33,4657,399,44,0,219,16,21,0,0,3,0,350,2585,164,10,0,17,0,0,76,39,1472,99,1066,164,0,34,0,41,393,47,85,0,11,571,64,0,273,43,0,17,0
Not Computed,0,0,0,0,87,0,0,0,0,656,0,0,0,0,0,0,0,0,28,0,0,0,22,0,0,32,0,0,31,0,55,0,37,0,0,0,0,0,0,0,0,0,0,57,0,0,56,0,0,0,0
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 15% of HH Income,69,8,57,51,1827,26,722,8,21,2339,631,37,0,230,80,52,17,69,255,41,298,3044,189,125,0,11,0,29,131,28,1766,26,1443,284,135,146,21,45,535,40,360,0,132,594,71,0,32,114,43,70,10
15 to 20% of HH Income,0,0,0,0,1254,38,555,7,216,1402,355,0,0,164,0,0,37,0,77,35,109,2975,150,17,0,58,0,0,112,128,902,0,1028,34,0,150,37,16,243,80,22,0,0,516,103,0,198,115,17,37,0
20 to 25% of HH Income,0,0,0,0,1113,41,454,0,39,1738,182,42,0,101,44,0,17,0,0,0,215,2167,53,0,0,6,0,24,42,73,700,61,593,111,0,77,0,39,534,14,165,0,35,360,40,0,154,231,10,0,0
25 to 30% of HH Income,57,0,15,20,1007,23,338,0,58,1300,304,19,48,78,2,0,0,16,24,0,201,2415,96,152,23,0,0,24,149,152,757,0,797,102,0,80,0,0,177,98,64,0,0,407,43,0,153,90,25,0,0
30 to 35% of HH Income,0,0,13,0,630,72,440,0,46,1287,219,0,12,0,12,0,0,0,21,0,103,1816,7,79,0,25,0,0,0,33,622,0,313,52,0,22,0,50,34,13,26,0,58,179,0,0,97,13,2,74,0
35%+,0,0,172,0,4127,259,1526,0,149,5473,439,99,0,409,29,239,0,14,138,0,701,7112,289,130,25,55,31,0,172,137,3355,66,3153,373,88,122,0,207,712,56,134,0,27,806,233,0,154,271,46,52,14
Not Computed ,0,0,9,0,322,0,0,15,51,741,73,0,19,50,0,0,0,0,19,0,25,336,0,0,0,32,0,0,19,0,131,0,266,32,0,33,0,0,123,0,0,0,0,129,35,0,0,89,0,36,0
Crowded Units,0,0,0,0,539,0,181,0,0,675,78,35,0,0,36,0,17,0,26,0,72,946,0,0,0,32,0,24,42,65,393,46,561,45,0,4,0,14,0,40,29,0,0,89,97,0,41,13,0,0,10
Median Household Income,69960,31590,93987,46640,71564,69698,55417,75030,71359,49372,58274,70975,26401,76676,78680,15840,93435,130986,61340,91489,73922,51909,82094,67481,37515,65430,25019,42241,60125,62660,51689,51628,68642,56603,10382,57793,100759,64469,52724,62290,68642,94056,63478,75159,46302,235665,95888,82370,50299,31145,53963
Median Family Income,69960,31590,84483,46640,62260,69698,51909,44860,52395,45627,56061,70975,26401,69519,78680,15840,93435,130986,40894,91489,69524,43603,82094,51909,37515,61261,25019,42241,51746,49832,41714,32610,56863,50696,9712,57793,78793,64469,46618,50531,60707,94056,63478,72647,40556,235665,90819,62290,50299,31145,53963
No. of Brazilian Immigrant Business Owners,107,33,158,0,5789,156,4523,53,162,14103,2641,191,66,348,57,13,57,14,387,71,1624,12284,240,227,37,59,39,0,372,267,5231,0,5002,609,22,173,25,206,1657,304,726,0,63,1901,285,12,637,446,2,46,15
No. of Non Business Owners Brazilian Immigrants,852,130,"2,118",329,"28,873","2,193","9,884",615,"1,346","53,395","6,718",886,295,"4,650","1,860",718,669,590,"1,402",197,"6,705","47,828","4,031","1,907",275,"1,740",97,432,"2,227","1,899","23,973",584,"18,918","4,126",428,"2,866",556,"1,483","7,441","1,275","2,113",103,"1,179","12,802","2,717",245,"5,027","3,209",281,863,28
"No. of Brazilian Immigrants Who are Self-employed in Own Unincorporated Business, Professional Practice, or Farm",92,21,49,0,4425,109,3648,18,162,8235,1983,95,48,180,24,13,57,0,219,71,1198,10478,187,191,30,43,39,0,296,224,4202,0,3679,424,22,146,25,206,1527,241,545,0,22,1504,246,12,503,419,2,34,0
"No. of Brazilian Immigrants Who are Self-employed in Own Incorporated Business, Professional Practice, or Farm",15,12,109,0,1364,47,875,35,0,5868,658,96,18,168,33,0,0,14,168,0,426,1806,53,36,7,16,0,0,76,43,1029,0,1323,185,0,27,0,0,130,63,181,0,41,397,39,0,134,27,0,12,15
N/A (Persons Aged 0–4 Years),16,0,7,0,294,0,124,0,0,600,21,0,0,40,28,0,0,0,0,0,257,284,78,117,0,29,0,0,0,64,49,0,193,0,0,75,0,29,33,0,29,0,24,135,0,0,0,0,0,0,0
Don’t speak English,0,34,12,0,603,15,423,0,28,2601,518,0,0,79,0,0,0,0,51,15,156,3607,22,0,0,33,0,0,36,117,1679,0,510,298,36,0,0,87,732,0,41,0,0,403,70,2,27,0,0,0,0
Speak only English,154,0,577,113,5587,371,692,51,420,5123,1124,257,33,669,485,252,112,292,224,121,574,3665,581,232,76,219,0,61,368,312,2317,28,3613,670,10,836,25,244,835,133,361,0,298,1500,386,103,753,474,97,195,34
Speak very well,187,131,1386,132,21476,1271,6174,270,641,35644,5064,558,336,3493,798,330,383,286,797,104,4363,23119,2291,1106,120,900,17,198,1486,943,11665,686,12970,2559,243,1561,383,1302,3544,731,1453,87,567,10015,2327,45,3258,2188,151,604,9
Speak well,169,40,297,87,6951,635,5127,52,431,18256,2386,207,159,854,416,122,248,177,602,80,2040,18473,1021,317,53,361,91,19,554,435,7441,121,5229,1044,142,557,111,366,2888,144,606,6,250,2716,655,0,853,724,47,279,22
Speak English but not well,18,0,113,0,2593,139,3778,59,90,8263,1151,0,15,202,82,0,58,0,400,0,608,12288,399,233,57,61,12,23,235,260,5656,10,1737,657,15,193,42,115,1763,109,622,0,9,1132,250,0,369,288,0,8,0
Population (Brazilian Estimate),"2,193",826,"9,643","1,338","151,199","9,801","65,787","1,742","6,491","284,171","41,380","4,120","2,189","21,516","7,293","2,838","3,229","3,044","8,361","1,290","32,244","247,681","17,706","8,083","1,234","6,463",484,"1,213","10,800","8,591","116,136","3,407","97,773","21,077","1,798","12,990","2,262","8,640","39,489","4,503","12,546",375,"4,628","64,105","14,868",605,"21,206","14,812","1,189","4,378",262
Rest of Country (Brazilian Estimate),1407807, 1409174, 1400357, 1408662, 1258801, 1400199, 1344213, 1408258, 1403509, 1125829, 1368620, 1405880, 1407811, 1388484, 1402707, 1407162, 1406771, 1406956, 1401639, 1408710, 1377756, 1162319, 1392294, 1401917, 1408766, 1403537, 1409516, 1408787, 1399200, 1401409, 1293864, 1406593, 1312227, 1388923, 1408202, 1397010, 1407738, 1401360, 1370511, 1405497, 1397454, 1409625, 1405372, 1345895, 1395132, 1409395, 1388794, 1395188, 1408811, 1405622, 1409738
